Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.279655,-0.147946,-0.214703,-0.147946,-0.214703,-0.212899,-0.279655,-0.212899,0.30945
322.741,-0.274242,-0.146142,-0.211094,-0.144338,-0.211094,-0.20929,-0.274242,-0.20929,0.303865
322.841,-0.268829,-0.142534,-0.207486,-0.142534,-0.205682,-0.203877,-0.268829,-0.205682,0.297656
322.841,-0.265221,-0.14073,-0.203877,-0.138925,-0.202073,-0.202073,-0.265221,-0.202073,0.293196
322.841,-0.259808,-0.138925,-0.200269,-0.137121,-0.198465,-0.19666,-0.259808,-0.198465,0.287516
322.941,-0.2562,-0.137121,-0.19666,-0.135317,-0.194856,-0.194856,-0.254396,-0.194856,0.282865
322.941,-0.250787,-0.133513,-0.193052,-0.131708,-0.191248,-0.191248,-0.250787,-0.191248,0.27747
322.941,-0.247179,-0.133513,-0.189444,-0.129904,-0.187639,-0.187639,-0.245375,-0.187639,0.272728
323.041,-0.247179,-0.133513,-0.189444,-0.129904,-0.187639,-0.187639,-0.245375,-0.187639,0.272728
323.041,-0.238158,-0.126296,-0.182227,-0.126296,-0.182227,-0.182227,-0.236353,-0.182227,0.263301
323.041,-0.232745,-0.124492,-0.178618,-0.124492,-0.178618,-0.178618,-0.232745,-0.178618,0.258338
323.141,-0.232745,-0.124492,-0.178618,-0.124492,-0.178618,-0.178618,-0.232745,-0.178618,0.258338
323.141,-0.223724,-0.119079,-0.173206,-0.119079,-0.171401,-0.171401,-0.225528,-0.171401,0.248702
323.141,-0.220115,-0.117275,-0.169597,-0.117275,-0.169597,-0.169597,-0.22192,-0.171401,0.245394
323.241,-0.216507,-0.11547,-0.169597,-0.113666,-0.165989,-0.165989,-0.216507,-0.165989,0.240533
323.241,-0.212899,-0.113666,-0.165989,-0.111862,-0.164184,-0.164184,-0.212899,-0.164184,0.236911
323.241,-0.20929,-0.111862,-0.160576,-0.111862,-0.160576,-0.160576,-0.20929,-0.160576,0.232255
323.341,-0.205682,-0.110058,-0.160576,-0.108253,-0.156968,-0.158772,-0.205682,-0.158772,0.228737
323.341,-0.202073,-0.108253,-0.155163,-0.108253,-0.155163,-0.155163,-0.202073,-0.155163,0.224392
323.341,-0.198465,-0.106449,-0.151555,-0.106449,-0.151555,-0.153359,-0.198465,-0.153359,0.220463
323.441,-0.194856,-0.104645,-0.149751,-0.104645,-0.147946,-0.149751,-0.194856,-0.149751,0.216219
323.441,-0.191248,-0.102841,-0.146142,-0.102841,-0.146142,-0.147946,-0.191248,-0.147946,0.2126
323.441,-0.187639,-0.101037,-0.144338,-0.101037,-0.144338,-0.146142,-0.187639,-0.146142,0.209294
323.541,-0.187639,-0.101037,-0.144338,-0.101037,-0.144338,-0.146142,-0.187639,-0.146142,0.209294
323.541,-0.182227,-0.0974281,-0.138925,-0.0974281,-0.138925,-0.14073,-0.182227,-0.14073,0.202242
323.541,-0.178618,-0.0956239,-0.137121,-0.0956239,-0.137121,-0.138925,-0.178618,-0.137121,0.198623
323.641,-0.178618,-0.0956239,-0.137121,-0.0956239,-0.137121,-0.138925,-0.178618,-0.137121,0.198623
323.641,-0.171401,-0.0920155,-0.131708,-0.0920155,-0.131708,-0.133513,-0.171401,-0.133513,0.191073
323.641,-0.169597,-0.0920155,-0.129904,-0.0902112,-0.129904,-0.131708,-0.167793,-0.131708,0.188393
323.741,-0.165989,-0.0902112,-0.1281,-0.0902112,-0.126296,-0.1281,-0.165989,-0.1281,0.18477
323.741,-0.164184,-0.0902112,-0.124492,-0.088407,-0.124492,-0.126296,-0.16238,-0.126296,0.18178
323.741,-0.160576,-0.0866028,-0.122687,-0.0866028,-0.122687,-0.124492,-0.160576,-0.124492,0.178655
323.841,-0.156968,-0.0847986,-0.120883,-0.0847986,-0.117275,-0.124492,-0.156968,-0.122687,0.175054
323.841,-0.155163,-0.0847986,-0.119079,-0.0829943,-0.117275,-0.119079,-0.153359,-0.120883,0.172046
323.841,-0.155163,-0.0847986,-0.119079,-0.0829943,-0.117275,-0.119079,-0.153359,-0.120883,0.172046
323.941,-0.149751,-0.0811901,-0.113666,-0.0811901,-0.11547,-0.117275,-0.149751,-0.11547,0.166864
