Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.281459,-0.147946,-0.216507,-0.146142,-0.214703,-0.212899,-0.279655,-0.212899,0.309958
322.841,-0.277851,-0.144338,-0.216507,-0.142534,-0.212899,-0.20929,-0.277851,-0.20929,0.306332
322.841,-0.276046,-0.142534,-0.214703,-0.138925,-0.211094,-0.205682,-0.274242,-0.205682,0.302611
322.941,-0.274242,-0.138925,-0.211094,-0.137121,-0.207486,-0.202073,-0.272438,-0.202073,0.298669
322.941,-0.272438,-0.135317,-0.20929,-0.133513,-0.205682,-0.198465,-0.268829,-0.198465,0.294751
322.941,-0.270634,-0.133513,-0.207486,-0.129904,-0.203877,-0.194856,-0.267025,-0.194856,0.291462
323.041,-0.268829,-0.129904,-0.205682,-0.126296,-0.202073,-0.191248,-0.263417,-0.191248,0.287564
323.041,-0.265221,-0.126296,-0.203877,-0.122687,-0.200269,-0.187639,-0.259808,-0.187639,0.283256
323.041,-0.265221,-0.126296,-0.202073,-0.119079,-0.198465,-0.184031,-0.258004,-0.184031,0.280622
323.141,-0.261613,-0.120883,-0.200269,-0.11547,-0.194856,-0.178618,-0.2562,-0.180422,0.275934
323.141,-0.259808,-0.117275,-0.198465,-0.113666,-0.193052,-0.176814,-0.247179,-0.182227,0.272212
323.141,-0.258004,-0.11547,-0.19666,-0.110058,-0.191248,-0.173206,-0.250787,-0.176814,0.269917
323.241,-0.2562,-0.111862,-0.194856,-0.106449,-0.189444,-0.169597,-0.247179,-0.171401,0.265791
323.241,-0.254396,-0.110058,-0.189444,-0.102841,-0.187639,-0.165989,-0.24357,-0.167793,0.261504
323.241,-0.252591,-0.106449,-0.193052,-0.0992324,-0.185835,-0.16238,-0.241766,-0.164184,0.259114
323.341,-0.250787,-0.102841,-0.191248,-0.0956239,-0.184031,-0.158772,-0.239962,-0.160576,0.25575
323.341,-0.248983,-0.101037,-0.189444,-0.0920155,-0.182227,-0.155163,-0.238158,-0.156968,0.252585
323.441,-0.247179,-0.0974281,-0.187639,-0.0902112,-0.180422,-0.151555,-0.234549,-0.153359,0.248993
323.441,-0.247179,-0.0974281,-0.187639,-0.0847986,-0.178618,-0.147946,-0.232745,-0.149751,0.246666
323.441,-0.24357,-0.0920155,-0.187639,-0.0811901,-0.176814,-0.144338,-0.230941,-0.149751,0.243644
323.441,-0.24357,-0.0902112,-0.184031,-0.0793859,-0.17501,-0.14073,-0.227332,-0.144338,0.240094
323.541,-0.241766,-0.0866028,-0.178618,-0.0757774,-0.173206,-0.137121,-0.225528,-0.14073,0.23615
323.541,-0.239962,-0.0847986,-0.182227,-0.072169,-0.171401,-0.133513,-0.223724,-0.137121,0.234119
323.541,-0.238158,-0.0811901,-0.180422,-0.0685605,-0.169597,-0.129904,-0.220115,-0.133513,0.230477
323.641,-0.236353,-0.0775817,-0.17501,-0.0649521,-0.167793,-0.126296,-0.212899,-0.135317,0.226092
323.641,-0.234549,-0.0757774,-0.178618,-0.0613436,-0.165989,-0.122687,-0.214703,-0.1281,0.224463
323.641,-0.234549,-0.0739732,-0.176814,-0.0595394,-0.164184,-0.119079,-0.214703,-0.124492,0.2225
323.741,-0.232745,-0.0703648,-0.17501,-0.055931,-0.16238,-0.11547,-0.211094,-0.120883,0.218948
323.741,-0.230941,-0.0685605,-0.17501,-0.0523225,-0.160576,-0.113666,-0.20929,-0.119079,0.216845
323.741,-0.229137,-0.0685605,-0.173206,-0.0505183,-0.158772,-0.110058,-0.207486,-0.11547,0.214162
323.841,-0.225528,-0.0649521,-0.171401,-0.0487141,-0.155163,-0.104645,-0.203877,-0.113666,0.209967
323.841,-0.223724,-0.0631479,-0.169597,-0.0451056,-0.153359,-0.104645,-0.200269,-0.111862,0.207321
323.841,-0.22192,-0.0613436,-0.16238,-0.0451056,-0.151555,-0.102841,-0.198465,-0.108253,0.203756
323.941,-0.218311,-0.0595394,-0.164184,-0.0433014,-0.149751,-0.101037,-0.194856,-0.106449,0.201228
