Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
323.041,-0.092108,-0.1003,0.0204307,0.0799422,-7.38728e-05,-0.092108
323.041,-0.092108,-0.1003,0.0204307,0.0799422,-7.38728e-05,-0.092108
323.141,-0.0933817,-0.0980818,0.0187326,0.0795946,-7.28603e-05,-0.0920112
323.141,-0.093806,-0.0977375,0.0180726,0.0799104,-7.38873e-05,-0.0924356
323.141,-0.108028,-0.0896181,0.0101297,0.0829369,0.00646898,-0.106522
323.241,-0.0947499,-0.0951165,0.0147223,0.0802989,0.00254494,-0.0948247
323.241,-0.0970171,-0.0903484,0.0108586,0.0807212,0.00364514,-0.0963052
323.241,-0.0993933,-0.0924717,0.00986543,0.0826841,0.00488172,-0.0989943
323.341,-0.0892644,-0.0847005,0.0118954,0.0741924,0.00120937,-0.0887438
323.341,-0.0934651,-0.0793513,0.00851773,0.0737969,0.00267106,-0.0921071
323.341,-0.0923206,-0.086941,0.0110744,0.0756713,0.00295139,-0.0915677
323.441,-0.0884466,-0.0876385,0.012545,0.0738796,0.00169432,-0.0876072
323.441,-0.0859427,-0.077874,0.00840804,0.071016,0.00120645,-0.0854207
323.441,-0.0776758,-0.0740591,0.00754374,0.068185,-0.00172436,-0.0770649
323.541,-0.0779776,-0.0737928,0.00709894,0.0683625,-0.00173225,-0.0773667
323.541,-0.0790509,-0.0767464,0.00912153,0.0677566,-9.17456e-05,-0.079051
323.541,-0.0794381,-0.0764147,0.00855462,0.067987,-9.7498e-05,-0.0794381
323.641,-0.0829695,-0.0708701,0.00517992,0.0672713,0.00177281,-0.0824231
323.641,-0.102701,-0.077551,0.00288412,0.075204,0.00931012,-0.101195
323.641,-0.0830558,-0.0768372,0.00793338,0.0675012,0.00218944,-0.0821763
323.741,-0.0746858,-0.0700126,0.00577466,0.0643816,-9.7089e-05,-0.0746858
323.741,-0.0795362,-0.0638794,0.00225407,0.0637507,0.00165463,-0.0786703
323.741,-0.0729665,-0.0673807,0.00498313,0.0625437,-9.36475e-05,-0.0729665
323.841,-0.0942533,-0.063675,-0.00161607,0.0680935,0.00796818,-0.0932742
323.841,-0.0712207,-0.0739404,0.00782038,0.0629299,-7.51061e-05,-0.0711996
323.841,-0.0762884,-0.0582556,0.000669856,0.0599016,0.00175024,-0.0754141
323.941,-0.0716918,-0.0715953,0.00762791,0.0609329,0.000576764,-0.0713093
323.941,-0.0792639,-0.0648702,0.00255461,0.0618685,0.00358169,-0.0785221
323.941,-0.0796178,-0.0645849,0.00210853,0.0620436,0.00358841,-0.0788759
324.041,-0.0667342,-0.0585219,0.00199774,0.0566938,-8.68211e-05,-0.0667343
324.041,-0.0812938,-0.0566627,-0.0010443,0.0592678,0.00490039,-0.0800374
324.041,-0.0748704,-0.0583596,0.000830311,0.0578246,0.00346595,-0.0750017
324.141,-0.0751014,-0.0581388,0.000517483,0.0579368,0.00346188,-0.0752329
324.141,-0.0663411,-0.0538216,-0.000355527,0.0546304,0.000766994,-0.0659764
324.141,-0.0697895,-0.0501415,-0.00208206,0.0540111,0.00224767,-0.0692681
324.241,-0.0777718,-0.0514113,-0.00201681,0.05508,0.00501577,-0.0765221
324.241,-0.0779797,-0.0512238,-0.00224632,0.0551386,0.00500835,-0.07673
324.241,-0.0782556,-0.0509509,-0.00259837,0.0552474,0.00499841,-0.0770064
324.341,-0.067544,-0.0600557,0.00291436,0.053999,0.00229046,-0.0657879
324.341,-0.0929657,-0.0378604,-0.0111602,0.0560787,0.0118733,-0.0917431
324.341,-0.0932689,-0.0375655,-0.0114718,0.056141,0.0118611,-0.0920459
324.441,-0.0488474,-0.0489389,0.000805714,0.0467068,-0.00260856,-0.0493577
324.441,-0.0868126,-0.0412404,-0.00836582,0.0540913,0.0102007,-0.0846054
324.541,-0.0869924,-0.0410589,-0.0085805,0.0541486,0.0101913,-0.0847855
324.541,-0.0535383,-0.0429799,-0.00271162,0.0459499,-0.00011374,-0.0535388
324.541,-0.0664166,-0.0370912,-0.00747188,0.0478431,0.00469309,-0.0660922
324.641,-0.0332376,-0.0429559,0.000336526,0.0404588,-0.00655515,-0.0329335
324.641,-0.0713521,-0.0396077,-0.00729622,0.0494175,0.00730989,-0.0713098
324.741,-0.0748183,-0.036183,-0.00845775,0.0484572,0.00857744,-0.0746796
324.741,-0.0679386,-0.0335131,-0.00827791,0.0456049,0.00613809,-0.0672472
324.741,-0.0639494,-0.035527,-0.0061306,0.0442642,0.00496166,-0.0633577
324.841,-0.0640728,-0.0353816,-0.00629575,0.0443058,0.00495035,-0.0634816
324.841,-0.059359,-0.0431193,-0.000290644,0.0426144,0.00430568,-0.059934
324.841,-0.078101,-0.0457212,-0.00283505,0.0483025,0.0105889,-0.076834
324.941,-0.0587783,-0.0387704,-0.00235789,0.0411653,0.00374457,-0.057041
324.941,-0.0479506,-0.031779,-0.00453564,0.0378759,0.0010142,-0.0478685
324.941,-0.0480818,-0.0316521,-0.00470183,0.0379245,0.00101027,-0.0479998
